portfolio,symbol
REIT,AMT
REIT,ARR
REIT,BEKE
REIT,CCI
REIT,DX
REIT,FTHM
REIT,JLL
REIT,MPW
REIT,LEJU
REIT,ORC
REIT,SLG
REIT,UDR
SA Top Rated,COF
SA Top Rated,COWN
SA Top Rated,DAC
SA Top Rated,ENVA
SA Top Rated,HIBB
SA Top Rated,IMPUY
SA Top Rated,MT
SA Top Rated,NHYDY
SA Top Rated,NLS
SA Top Rated,MU
SA Top Rated,OMI
SA Top Rated,SBSW
SA Top Rated,VALE
SA Top Rated,VSTO
Semiconductors,AMD
Semiconductors,AMKR
Semiconductors,KLAC
Semiconductors,INTC
Semiconductors,LRCX
Semiconductors,MU
Semiconductors,NVDA
Semiconductors,QCOM
Semiconductors,STX
Semiconductors,SWKS
Semiconductors,TSM
Semiconductors,TXN
Shipping,ATCO
Shipping,BDRY
Shipping,CMRE
Shipping,DAC
Shipping,GNK
Shipping,GSL
Shipping,NMCI
Shipping,SBLK
Stock Markets Asia,EIDO
Stock Markets Asia,EWT
Stock Markets Asia,EWY
Stock Markets Asia,GXC
Stock Markets Asia,INDA
Stock Markets Asia,THD
Stock Markets Emerging,EEM
Stock Markets Emerging,EEMA
Stock Markets Emerging,EEMO
Stock Markets Emerging,EMQQ
Stock Markets Emerging,IEMG
Stock Markets Emerging,VWO
Stock Markets Europe,EDEN
Stock Markets Europe,EFNL
Stock Markets Europe,EIRL
Stock Markets Europe,EWK
Stock Markets Europe,EWN
Stock Markets Europe,EWUS
Stock Markets Europe,EWO
Stock Markets Europe,VGK
Travel,BKNG
Travel,CCL
Travel,DAL
Travel,DIS
Travel,EXPE
Travel,JETS
Travel,LUV
Travel,MGM
Travel,MMYT
Travel,NCLH
Travel,SABR
Travel,TRIP
Travel,TZOO
Travel,UAL

